IDCode,narrative_text
paxi044,n_items: 57; accuracy: 0.1579; avg_rt: 13.8095; var_rt: 517.5915; rt_cv: 1.6475; longest_correct_streak: 3; longest_incorrect_streak: 28; consecutive_correct_rate: 0.0536
neku787,n_items: 57; accuracy: 0.7719; avg_rt: 17.6379; var_rt: 269.5222; rt_cv: 0.9308; longest_correct_streak: 12; longest_incorrect_streak: 3; consecutive_correct_rate: 0.6429
navo572,n_items: 57; accuracy: 0.6491; avg_rt: 19.7078; var_rt: 165.4779; rt_cv: 0.6527; longest_correct_streak: 13; longest_incorrect_streak: 5; consecutive_correct_rate: 0.5000
gola051,n_items: 57; accuracy: 0.6667; avg_rt: 13.3542; var_rt: 52.2885; rt_cv: 0.5415; longest_correct_streak: 12; longest_incorrect_streak: 5; consecutive_correct_rate: 0.5357
pyzo535,n_items: 57; accuracy: 0.3333; avg_rt: 22.2976; var_rt: 432.7046; rt_cv: 0.9329; longest_correct_streak: 7; longest_incorrect_streak: 30; consecutive_correct_rate: 0.2500
xoky149,n_items: 57; accuracy: 0.6667; avg_rt: 20.5246; var_rt: 489.2021; rt_cv: 1.0776; longest_correct_streak: 9; longest_incorrect_streak: 8; consecutive_correct_rate: 0.5179
loxu319,n_items: 57; accuracy: 0.8947; avg_rt: 19.7467; var_rt: 229.8937; rt_cv: 0.7678; longest_correct_streak: 30; longest_incorrect_streak: 3; consecutive_correct_rate: 0.8393
qisu640,n_items: 57; accuracy: 0.5263; avg_rt: 14.7036; var_rt: 484.5358; rt_cv: 1.4971; longest_correct_streak: 12; longest_incorrect_streak: 5; consecutive_correct_rate: 0.3393
gery678,n_items: 57; accuracy: 0.3509; avg_rt: 14.3881; var_rt: 54.1115; rt_cv: 0.5113; longest_correct_streak: 6; longest_incorrect_streak: 26; consecutive_correct_rate: 0.2500
huho039,n_items: 57; accuracy: 0.7719; avg_rt: 24.4558; var_rt: 738.9650; rt_cv: 1.1116; longest_correct_streak: 11; longest_incorrect_streak: 8; consecutive_correct_rate: 0.6964
wozo826,n_items: 57; accuracy: 0.4737; avg_rt: 26.2741; var_rt: 598.0616; rt_cv: 0.9308; longest_correct_streak: 15; longest_incorrect_streak: 17; consecutive_correct_rate: 0.3750
soru820,n_items: 57; accuracy: 0.4561; avg_rt: 28.6034; var_rt: 590.7036; rt_cv: 0.8497; longest_correct_streak: 9; longest_incorrect_streak: 8; consecutive_correct_rate: 0.2857
fari709,n_items: 57; accuracy: 0.2807; avg_rt: 17.3520; var_rt: 136.6008; rt_cv: 0.6736; longest_correct_streak: 4; longest_incorrect_streak: 23; consecutive_correct_rate: 0.1250
qapo730,n_items: 57; accuracy: 0.5614; avg_rt: 20.8295; var_rt: 263.3667; rt_cv: 0.7791; longest_correct_streak: 11; longest_incorrect_streak: 5; consecutive_correct_rate: 0.4107
najy705,n_items: 57; accuracy: 0.5789; avg_rt: 15.6167; var_rt: 57.1954; rt_cv: 0.4843; longest_correct_streak: 8; longest_incorrect_streak: 14; consecutive_correct_rate: 0.4286
sejy814,n_items: 57; accuracy: 0.8246; avg_rt: 13.5219; var_rt: 173.6798; rt_cv: 0.9746; longest_correct_streak: 15; longest_incorrect_streak: 3; consecutive_correct_rate: 0.7143
laze716,n_items: 57; accuracy: 0.7018; avg_rt: 19.0390; var_rt: 336.2038; rt_cv: 0.9631; longest_correct_streak: 15; longest_incorrect_streak: 4; consecutive_correct_rate: 0.5893
kojo378,n_items: 57; accuracy: 0.4561; avg_rt: 13.1968; var_rt: 110.9599; rt_cv: 0.7982; longest_correct_streak: 5; longest_incorrect_streak: 12; consecutive_correct_rate: 0.2679
tepu554,n_items: 57; accuracy: 0.8246; avg_rt: 18.4508; var_rt: 101.4700; rt_cv: 0.5460; longest_correct_streak: 20; longest_incorrect_streak: 3; consecutive_correct_rate: 0.7143
dyva324,n_items: 57; accuracy: 0.4561; avg_rt: 16.9674; var_rt: 163.8478; rt_cv: 0.7544; longest_correct_streak: 6; longest_incorrect_streak: 5; consecutive_correct_rate: 0.2500
pusu302,n_items: 57; accuracy: 0.2456; avg_rt: 22.3916; var_rt: 851.7117; rt_cv: 1.3033; longest_correct_streak: 4; longest_incorrect_streak: 26; consecutive_correct_rate: 0.1429
xamy888,n_items: 57; accuracy: 0.6491; avg_rt: 15.6749; var_rt: 109.5113; rt_cv: 0.6676; longest_correct_streak: 8; longest_incorrect_streak: 4; consecutive_correct_rate: 0.4286
ninu744,n_items: 57; accuracy: 0.3860; avg_rt: 13.3855; var_rt: 68.4641; rt_cv: 0.6182; longest_correct_streak: 8; longest_incorrect_streak: 13; consecutive_correct_rate: 0.2500
punu537,n_items: 57; accuracy: 0.6667; avg_rt: 12.1335; var_rt: 95.6938; rt_cv: 0.8062; longest_correct_streak: 12; longest_incorrect_streak: 5; consecutive_correct_rate: 0.5357
zufa556,n_items: 57; accuracy: 0.2105; avg_rt: 17.2239; var_rt: 106.8543; rt_cv: 0.6002; longest_correct_streak: 4; longest_incorrect_streak: 16; consecutive_correct_rate: 0.0893
losy787,n_items: 57; accuracy: 0.4211; avg_rt: 23.3519; var_rt: 521.6085; rt_cv: 0.9780; longest_correct_streak: 13; longest_incorrect_streak: 26; consecutive_correct_rate: 0.3393
fuxa711,n_items: 57; accuracy: 0.5789; avg_rt: 17.5022; var_rt: 192.2227; rt_cv: 0.7922; longest_correct_streak: 11; longest_incorrect_streak: 6; consecutive_correct_rate: 0.4107
myzo000,n_items: 57; accuracy: 0.7368; avg_rt: 22.6590; var_rt: 404.2493; rt_cv: 0.8873; longest_correct_streak: 15; longest_incorrect_streak: 4; consecutive_correct_rate: 0.6071
jygo886,n_items: 57; accuracy: 0.4737; avg_rt: 20.8065; var_rt: 264.8446; rt_cv: 0.7822; longest_correct_streak: 5; longest_incorrect_streak: 5; consecutive_correct_rate: 0.2679
dyzo734,n_items: 57; accuracy: 0.0877; avg_rt: 13.9021; var_rt: 162.0682; rt_cv: 0.9157; longest_correct_streak: 2; longest_incorrect_streak: 30; consecutive_correct_rate: 0.0179
ciky680,n_items: 57; accuracy: 0.8246; avg_rt: 21.8842; var_rt: 176.8601; rt_cv: 0.6077; longest_correct_streak: 20; longest_incorrect_streak: 3; consecutive_correct_rate: 0.7143
nopo152,n_items: 57; accuracy: 0.5439; avg_rt: 12.9052; var_rt: 93.2335; rt_cv: 0.7482; longest_correct_streak: 14; longest_incorrect_streak: 11; consecutive_correct_rate: 0.4107
tivy194,n_items: 57; accuracy: 0.6316; avg_rt: 13.2683; var_rt: 114.2916; rt_cv: 0.8057; longest_correct_streak: 7; longest_incorrect_streak: 3; consecutive_correct_rate: 0.4107
biry098,n_items: 57; accuracy: 0.5789; avg_rt: 22.2785; var_rt: 199.8116; rt_cv: 0.6345; longest_correct_streak: 10; longest_incorrect_streak: 10; consecutive_correct_rate: 0.4286
tebo981,n_items: 57; accuracy: 0.8421; avg_rt: 14.3375; var_rt: 174.2963; rt_cv: 0.9208; longest_correct_streak: 31; longest_incorrect_streak: 3; consecutive_correct_rate: 0.7143
jyma323,n_items: 57; accuracy: 0.7719; avg_rt: 13.4197; var_rt: 197.1642; rt_cv: 1.0463; longest_correct_streak: 19; longest_incorrect_streak: 3; consecutive_correct_rate: 0.6250
cani065,n_items: 57; accuracy: 0.7895; avg_rt: 18.9603; var_rt: 169.1001; rt_cv: 0.6858; longest_correct_streak: 21; longest_incorrect_streak: 2; consecutive_correct_rate: 0.6429
puxi257,n_items: 57; accuracy: 0.5263; avg_rt: 11.9406; var_rt: 167.4950; rt_cv: 1.0839; longest_correct_streak: 8; longest_incorrect_streak: 10; consecutive_correct_rate: 0.3571
jemy201,n_items: 57; accuracy: 0.6842; avg_rt: 14.2254; var_rt: 109.4238; rt_cv: 0.7353; longest_correct_streak: 11; longest_incorrect_streak: 5; consecutive_correct_rate: 0.5536
woqa919,n_items: 57; accuracy: 0.7719; avg_rt: 22.1124; var_rt: 291.6663; rt_cv: 0.7723; longest_correct_streak: 10; longest_incorrect_streak: 3; consecutive_correct_rate: 0.6071
huze427,n_items: 57; accuracy: 0.4561; avg_rt: 12.0399; var_rt: 73.5256; rt_cv: 0.7122; longest_correct_streak: 5; longest_incorrect_streak: 11; consecutive_correct_rate: 0.2857
jaxe723,n_items: 57; accuracy: 0.8070; avg_rt: 14.8478; var_rt: 106.6292; rt_cv: 0.6955; longest_correct_streak: 14; longest_incorrect_streak: 2; consecutive_correct_rate: 0.6786
xamy676,n_items: 57; accuracy: 0.6491; avg_rt: 18.0914; var_rt: 271.4953; rt_cv: 0.9108; longest_correct_streak: 7; longest_incorrect_streak: 5; consecutive_correct_rate: 0.4643
lowy720,n_items: 57; accuracy: 0.7193; avg_rt: 23.9655; var_rt: 2110.5927; rt_cv: 1.9170; longest_correct_streak: 11; longest_incorrect_streak: 4; consecutive_correct_rate: 0.6071
mixa281,n_items: 57; accuracy: 0.5614; avg_rt: 19.3203; var_rt: 244.5633; rt_cv: 0.8094; longest_correct_streak: 13; longest_incorrect_streak: 7; consecutive_correct_rate: 0.4107
sipy389,n_items: 57; accuracy: 0.4211; avg_rt: 20.4511; var_rt: 145.7876; rt_cv: 0.5904; longest_correct_streak: 10; longest_incorrect_streak: 27; consecutive_correct_rate: 0.3750
bube109,n_items: 57; accuracy: 0.7719; avg_rt: 18.4641; var_rt: 182.5965; rt_cv: 0.7318; longest_correct_streak: 10; longest_incorrect_streak: 4; consecutive_correct_rate: 0.6429
boqe999,n_items: 57; accuracy: 0.8421; avg_rt: 13.7792; var_rt: 65.6617; rt_cv: 0.5881; longest_correct_streak: 36; longest_incorrect_streak: 2; consecutive_correct_rate: 0.7500
guzo911,n_items: 57; accuracy: 0.7193; avg_rt: 24.1733; var_rt: 454.2791; rt_cv: 0.8817; longest_correct_streak: 12; longest_incorrect_streak: 10; consecutive_correct_rate: 0.6429
guxe800,n_items: 57; accuracy: 0.7018; avg_rt: 21.2943; var_rt: 497.4081; rt_cv: 1.0474; longest_correct_streak: 16; longest_incorrect_streak: 4; consecutive_correct_rate: 0.5357
dove442,n_items: 57; accuracy: 0.6667; avg_rt: 18.9473; var_rt: 567.3282; rt_cv: 1.2571; longest_correct_streak: 11; longest_incorrect_streak: 5; consecutive_correct_rate: 0.5179
zivi062,n_items: 57; accuracy: 0.6491; avg_rt: 11.8199; var_rt: 55.5757; rt_cv: 0.6307; longest_correct_streak: 17; longest_incorrect_streak: 5; consecutive_correct_rate: 0.5000
lury747,n_items: 57; accuracy: 0.5263; avg_rt: 16.3812; var_rt: 202.4653; rt_cv: 0.8686; longest_correct_streak: 9; longest_incorrect_streak: 4; consecutive_correct_rate: 0.3036
tuve726,n_items: 57; accuracy: 0.6842; avg_rt: 20.0350; var_rt: 336.9990; rt_cv: 0.9163; longest_correct_streak: 12; longest_incorrect_streak: 5; consecutive_correct_rate: 0.5357
vihu826,n_items: 57; accuracy: 0.7895; avg_rt: 32.4018; var_rt: 1505.2133; rt_cv: 1.1974; longest_correct_streak: 15; longest_incorrect_streak: 3; consecutive_correct_rate: 0.6607
hata313,n_items: 57; accuracy: 0.6316; avg_rt: 17.3038; var_rt: 327.8994; rt_cv: 1.0465; longest_correct_streak: 14; longest_incorrect_streak: 10; consecutive_correct_rate: 0.5000
hoki309,n_items: 57; accuracy: 0.5439; avg_rt: 18.2883; var_rt: 356.2827; rt_cv: 1.0321; longest_correct_streak: 6; longest_incorrect_streak: 5; consecutive_correct_rate: 0.3750
kyzy131,n_items: 57; accuracy: 0.5263; avg_rt: 18.3171; var_rt: 228.0612; rt_cv: 0.8245; longest_correct_streak: 8; longest_incorrect_streak: 7; consecutive_correct_rate: 0.3393
syti148,n_items: 57; accuracy: 0.7719; avg_rt: 17.8163; var_rt: 357.5759; rt_cv: 1.0614; longest_correct_streak: 14; longest_incorrect_streak: 4; consecutive_correct_rate: 0.6607
syco853,n_items: 57; accuracy: 0.8772; avg_rt: 28.7820; var_rt: 936.9842; rt_cv: 1.0635; longest_correct_streak: 23; longest_incorrect_streak: 1; consecutive_correct_rate: 0.7857
sefy975,n_items: 57; accuracy: 0.5439; avg_rt: 17.3697; var_rt: 62.4168; rt_cv: 0.4548; longest_correct_streak: 12; longest_incorrect_streak: 9; consecutive_correct_rate: 0.3929
jese656,n_items: 57; accuracy: 0.8070; avg_rt: 18.8318; var_rt: 280.1959; rt_cv: 0.8889; longest_correct_streak: 16; longest_incorrect_streak: 3; consecutive_correct_rate: 0.6964
guge611,n_items: 57; accuracy: 0.5614; avg_rt: 19.7594; var_rt: 173.9023; rt_cv: 0.6674; longest_correct_streak: 11; longest_incorrect_streak: 9; consecutive_correct_rate: 0.4286
mesi806,n_items: 57; accuracy: 0.6316; avg_rt: 30.7166; var_rt: 993.5437; rt_cv: 1.0262; longest_correct_streak: 9; longest_incorrect_streak: 5; consecutive_correct_rate: 0.4286
sesi698,n_items: 57; accuracy: 0.8070; avg_rt: 15.2133; var_rt: 185.5953; rt_cv: 0.8955; longest_correct_streak: 21; longest_incorrect_streak: 2; consecutive_correct_rate: 0.6786
gopa505,n_items: 57; accuracy: 0.6842; avg_rt: 32.1070; var_rt: 632.6878; rt_cv: 0.7834; longest_correct_streak: 20; longest_incorrect_streak: 5; consecutive_correct_rate: 0.5179
duwi894,n_items: 57; accuracy: 0.7895; avg_rt: 17.0157; var_rt: 404.0991; rt_cv: 1.1814; longest_correct_streak: 15; longest_incorrect_streak: 3; consecutive_correct_rate: 0.6429
hasa034,n_items: 57; accuracy: 0.6667; avg_rt: 29.2715; var_rt: 523.0886; rt_cv: 0.7813; longest_correct_streak: 7; longest_incorrect_streak: 3; consecutive_correct_rate: 0.5000
pile112,n_items: 57; accuracy: 0.8772; avg_rt: 16.4953; var_rt: 352.6543; rt_cv: 1.1385; longest_correct_streak: 22; longest_incorrect_streak: 2; consecutive_correct_rate: 0.7857
sivi804,n_items: 57; accuracy: 0.6316; avg_rt: 20.1112; var_rt: 157.1716; rt_cv: 0.6234; longest_correct_streak: 8; longest_incorrect_streak: 5; consecutive_correct_rate: 0.5000
maho931,n_items: 57; accuracy: 0.5965; avg_rt: 11.7197; var_rt: 426.3342; rt_cv: 1.7618; longest_correct_streak: 12; longest_incorrect_streak: 12; consecutive_correct_rate: 0.4286
waho571,n_items: 57; accuracy: 0.6491; avg_rt: 21.3981; var_rt: 140.2414; rt_cv: 0.5534; longest_correct_streak: 14; longest_incorrect_streak: 7; consecutive_correct_rate: 0.4821
mowy859,n_items: 57; accuracy: 0.5439; avg_rt: 29.1922; var_rt: 786.6635; rt_cv: 0.9608; longest_correct_streak: 7; longest_incorrect_streak: 9; consecutive_correct_rate: 0.4107
rihi168,n_items: 57; accuracy: 0.4211; avg_rt: 22.0097; var_rt: 859.6442; rt_cv: 1.3321; longest_correct_streak: 4; longest_incorrect_streak: 14; consecutive_correct_rate: 0.1964
siry766,n_items: 57; accuracy: 0.7193; avg_rt: 33.1670; var_rt: 1264.1237; rt_cv: 1.0720; longest_correct_streak: 13; longest_incorrect_streak: 4; consecutive_correct_rate: 0.5714
qefe646,n_items: 57; accuracy: 0.4561; avg_rt: 19.3166; var_rt: 348.6057; rt_cv: 0.9666; longest_correct_streak: 5; longest_incorrect_streak: 14; consecutive_correct_rate: 0.2857
zojo883,n_items: 57; accuracy: 0.8772; avg_rt: 15.1361; var_rt: 163.2233; rt_cv: 0.8441; longest_correct_streak: 16; longest_incorrect_streak: 2; consecutive_correct_rate: 0.7857
dero258,n_items: 57; accuracy: 0.8070; avg_rt: 9.8383; var_rt: 66.8269; rt_cv: 0.8309; longest_correct_streak: 23; longest_incorrect_streak: 3; consecutive_correct_rate: 0.7143
mika525,n_items: 57; accuracy: 0.6140; avg_rt: 15.3916; var_rt: 94.5536; rt_cv: 0.6318; longest_correct_streak: 11; longest_incorrect_streak: 4; consecutive_correct_rate: 0.4643
xohi599,n_items: 57; accuracy: 0.7895; avg_rt: 12.0006; var_rt: 93.0476; rt_cv: 0.8038; longest_correct_streak: 14; longest_incorrect_streak: 3; consecutive_correct_rate: 0.6607
tebe135,n_items: 57; accuracy: 0.6491; avg_rt: 19.8756; var_rt: 725.9959; rt_cv: 1.3556; longest_correct_streak: 9; longest_incorrect_streak: 5; consecutive_correct_rate: 0.4821
naso669,n_items: 57; accuracy: 0.5088; avg_rt: 13.5156; var_rt: 74.4135; rt_cv: 0.6382; longest_correct_streak: 6; longest_incorrect_streak: 13; consecutive_correct_rate: 0.3393
qecu035,n_items: 57; accuracy: 0.8246; avg_rt: 24.6150; var_rt: 1389.7589; rt_cv: 1.5145; longest_correct_streak: 17; longest_incorrect_streak: 3; consecutive_correct_rate: 0.7500
zywy107,n_items: 57; accuracy: 0.6667; avg_rt: 20.8087; var_rt: 414.5269; rt_cv: 0.9784; longest_correct_streak: 11; longest_incorrect_streak: 4; consecutive_correct_rate: 0.5179
cave700,n_items: 57; accuracy: 0.5263; avg_rt: 15.1310; var_rt: 230.0053; rt_cv: 1.0023; longest_correct_streak: 9; longest_incorrect_streak: 9; consecutive_correct_rate: 0.4107
nupy082,n_items: 57; accuracy: 0.8246; avg_rt: 13.9235; var_rt: 355.4885; rt_cv: 1.3541; longest_correct_streak: 26; longest_incorrect_streak: 4; consecutive_correct_rate: 0.7321
hoge626,n_items: 57; accuracy: 0.8947; avg_rt: 13.2567; var_rt: 178.7174; rt_cv: 1.0084; longest_correct_streak: 25; longest_incorrect_streak: 3; consecutive_correct_rate: 0.8393
nivo041,n_items: 57; accuracy: 0.8070; avg_rt: 24.1457; var_rt: 736.9050; rt_cv: 1.1243; longest_correct_streak: 12; longest_incorrect_streak: 2; consecutive_correct_rate: 0.6786
karo919,n_items: 57; accuracy: 0.4386; avg_rt: 16.2520; var_rt: 255.8073; rt_cv: 0.9841; longest_correct_streak: 6; longest_incorrect_streak: 9; consecutive_correct_rate: 0.3036
vuhe805,n_items: 57; accuracy: 0.6842; avg_rt: 22.7071; var_rt: 198.5489; rt_cv: 0.6205; longest_correct_streak: 12; longest_incorrect_streak: 3; consecutive_correct_rate: 0.5179
kebi083,n_items: 57; accuracy: 0.7544; avg_rt: 10.9781; var_rt: 68.7044; rt_cv: 0.7550; longest_correct_streak: 17; longest_incorrect_streak: 5; consecutive_correct_rate: 0.5893
faly535,n_items: 57; accuracy: 0.5965; avg_rt: 21.5843; var_rt: 277.1240; rt_cv: 0.7713; longest_correct_streak: 11; longest_incorrect_streak: 5; consecutive_correct_rate: 0.4107
gelo627,n_items: 57; accuracy: 0.5439; avg_rt: 14.3088; var_rt: 190.8844; rt_cv: 0.9656; longest_correct_streak: 8; longest_incorrect_streak: 10; consecutive_correct_rate: 0.3393
vili771,n_items: 57; accuracy: 0.8070; avg_rt: 16.6835; var_rt: 264.8666; rt_cv: 0.9755; longest_correct_streak: 23; longest_incorrect_streak: 3; consecutive_correct_rate: 0.6964
katu927,n_items: 57; accuracy: 0.7544; avg_rt: 17.3222; var_rt: 188.1641; rt_cv: 0.7919; longest_correct_streak: 13; longest_incorrect_streak: 3; consecutive_correct_rate: 0.6071
xiza150,n_items: 57; accuracy: 0.4912; avg_rt: 12.4649; var_rt: 71.6585; rt_cv: 0.6791; longest_correct_streak: 11; longest_incorrect_streak: 8; consecutive_correct_rate: 0.3929
bevi590,n_items: 57; accuracy: 0.8070; avg_rt: 8.3045; var_rt: 28.1647; rt_cv: 0.6391; longest_correct_streak: 15; longest_incorrect_streak: 3; consecutive_correct_rate: 0.6964
huve181,n_items: 57; accuracy: 0.5789; avg_rt: 18.8629; var_rt: 296.0960; rt_cv: 0.9122; longest_correct_streak: 5; longest_incorrect_streak: 5; consecutive_correct_rate: 0.3571
fite050,n_items: 57; accuracy: 0.8246; avg_rt: 12.7459; var_rt: 94.8743; rt_cv: 0.7642; longest_correct_streak: 18; longest_incorrect_streak: 5; consecutive_correct_rate: 0.7321
nysu060,n_items: 57; accuracy: 0.7895; avg_rt: 12.7772; var_rt: 83.0870; rt_cv: 0.7134; longest_correct_streak: 18; longest_incorrect_streak: 4; consecutive_correct_rate: 0.6786
kaho190,n_items: 57; accuracy: 0.6842; avg_rt: 24.5501; var_rt: 403.3217; rt_cv: 0.8180; longest_correct_streak: 11; longest_incorrect_streak: 4; consecutive_correct_rate: 0.5357
lany944,n_items: 57; accuracy: 0.9123; avg_rt: 10.4819; var_rt: 62.8335; rt_cv: 0.7562; longest_correct_streak: 44; longest_incorrect_streak: 3; consecutive_correct_rate: 0.8750
maqu534,n_items: 57; accuracy: 0.7193; avg_rt: 19.7016; var_rt: 337.4190; rt_cv: 0.9324; longest_correct_streak: 16; longest_incorrect_streak: 7; consecutive_correct_rate: 0.6250
wuga870,n_items: 57; accuracy: 0.7018; avg_rt: 22.3018; var_rt: 419.9544; rt_cv: 0.9189; longest_correct_streak: 9; longest_incorrect_streak: 4; consecutive_correct_rate: 0.5179
wyva352,n_items: 57; accuracy: 0.7719; avg_rt: 28.0598; var_rt: 588.1367; rt_cv: 0.8643; longest_correct_streak: 15; longest_incorrect_streak: 2; consecutive_correct_rate: 0.6250
hime464,n_items: 57; accuracy: 0.7193; avg_rt: 15.2833; var_rt: 154.7226; rt_cv: 0.8139; longest_correct_streak: 12; longest_incorrect_streak: 3; consecutive_correct_rate: 0.5893
jexu775,n_items: 57; accuracy: 0.7368; avg_rt: 18.1259; var_rt: 251.8373; rt_cv: 0.8755; longest_correct_streak: 16; longest_incorrect_streak: 5; consecutive_correct_rate: 0.6071
tuga736,n_items: 57; accuracy: 0.6140; avg_rt: 11.6869; var_rt: 167.8033; rt_cv: 1.1084; longest_correct_streak: 8; longest_incorrect_streak: 4; consecutive_correct_rate: 0.4107
hyfe498,n_items: 57; accuracy: 0.5439; avg_rt: 11.3866; var_rt: 84.0191; rt_cv: 0.8050; longest_correct_streak: 8; longest_incorrect_streak: 12; consecutive_correct_rate: 0.4107
bomo360,n_items: 57; accuracy: 0.8421; avg_rt: 15.2367; var_rt: 176.2710; rt_cv: 0.8714; longest_correct_streak: 15; longest_incorrect_streak: 2; consecutive_correct_rate: 0.7500
lomo204,n_items: 57; accuracy: 0.9649; avg_rt: 16.5182; var_rt: 297.9915; rt_cv: 1.0451; longest_correct_streak: 51; longest_incorrect_streak: 2; consecutive_correct_rate: 0.9464
mipe544,n_items: 57; accuracy: 0.7544; avg_rt: 14.0511; var_rt: 56.5017; rt_cv: 0.5350; longest_correct_streak: 15; longest_incorrect_streak: 3; consecutive_correct_rate: 0.6071
