IDCode,gmm_bic_best_label,gmm_aic_best_label,gmm_aicc_best_label,narrative_best_label,narrative_text
myzo000,0,0,0,0,n_items: 57; accuracy: 0.7368; avg_rt: 22.6590; var_rt: 404.2493; rt_cv: 0.8873; longest_correct_streak: 15; longest_incorrect_streak: 4; consecutive_correct_rate: 0.6071
sazy810,3,9,3,4,n_items: 57; accuracy: 0.8070; avg_rt: 15.7173; var_rt: 192.6694; rt_cv: 0.8831; longest_correct_streak: 18; longest_incorrect_streak: 3; consecutive_correct_rate: 0.6786
fuxa711,1,1,1,4,n_items: 57; accuracy: 0.5789; avg_rt: 17.5022; var_rt: 192.2227; rt_cv: 0.7922; longest_correct_streak: 11; longest_incorrect_streak: 6; consecutive_correct_rate: 0.4107
fypi681,0,0,0,4,n_items: 57; accuracy: 0.6842; avg_rt: 16.5122; var_rt: 433.5311; rt_cv: 1.2610; longest_correct_streak: 9; longest_incorrect_streak: 6; consecutive_correct_rate: 0.5357
karo919,2,4,2,4,n_items: 57; accuracy: 0.4386; avg_rt: 16.2520; var_rt: 255.8073; rt_cv: 0.9841; longest_correct_streak: 6; longest_incorrect_streak: 9; consecutive_correct_rate: 0.3036
dosu709,0,4,0,5,n_items: 57; accuracy: 0.7193; avg_rt: 23.5401; var_rt: 462.0575; rt_cv: 0.9131; longest_correct_streak: 18; longest_incorrect_streak: 10; consecutive_correct_rate: 0.6786
wyva352,4,4,4,5,n_items: 57; accuracy: 0.7719; avg_rt: 28.0598; var_rt: 588.1367; rt_cv: 0.8643; longest_correct_streak: 15; longest_incorrect_streak: 2; consecutive_correct_rate: 0.6250
xyzi642,4,6,4,5,n_items: 57; accuracy: 0.8772; avg_rt: 25.9216; var_rt: 688.5424; rt_cv: 1.0123; longest_correct_streak: 30; longest_incorrect_streak: 2; consecutive_correct_rate: 0.8036
posy537,3,9,3,5,n_items: 57; accuracy: 0.8596; avg_rt: 11.4323; var_rt: 113.6335; rt_cv: 0.9324; longest_correct_streak: 23; longest_incorrect_streak: 2; consecutive_correct_rate: 0.7500
mabo887,0,0,0,5,n_items: 57; accuracy: 0.7368; avg_rt: 16.6681; var_rt: 299.0629; rt_cv: 1.0375; longest_correct_streak: 13; longest_incorrect_streak: 4; consecutive_correct_rate: 0.5893
homa046,2,7,2,6,n_items: 57; accuracy: 0.3509; avg_rt: 33.0942; var_rt: 1410.6120; rt_cv: 1.1349; longest_correct_streak: 7; longest_incorrect_streak: 10; consecutive_correct_rate: 0.1964
nujo284,0,0,0,6,n_items: 57; accuracy: 0.7368; avg_rt: 21.1887; var_rt: 491.2135; rt_cv: 1.0460; longest_correct_streak: 11; longest_incorrect_streak: 3; consecutive_correct_rate: 0.5536
buby236,2,4,2,6,n_items: 57; accuracy: 0.2807; avg_rt: 11.4810; var_rt: 165.0891; rt_cv: 1.1191; longest_correct_streak: 11; longest_incorrect_streak: 23; consecutive_correct_rate: 0.1964
rihi168,2,7,2,6,n_items: 57; accuracy: 0.4211; avg_rt: 22.0097; var_rt: 859.6442; rt_cv: 1.3321; longest_correct_streak: 4; longest_incorrect_streak: 14; consecutive_correct_rate: 0.1964
cupe992,2,8,2,6,n_items: 57; accuracy: 0.3158; avg_rt: 17.9598; var_rt: 229.4413; rt_cv: 0.8434; longest_correct_streak: 7; longest_incorrect_streak: 11; consecutive_correct_rate: 0.1786
habe142,3,9,3,7,n_items: 57; accuracy: 0.7719; avg_rt: 19.8144; var_rt: 248.1568; rt_cv: 0.7950; longest_correct_streak: 15; longest_incorrect_streak: 4; consecutive_correct_rate: 0.6429
guva627,3,9,3,7,n_items: 57; accuracy: 0.8421; avg_rt: 17.1258; var_rt: 148.5707; rt_cv: 0.7117; longest_correct_streak: 21; longest_incorrect_streak: 3; consecutive_correct_rate: 0.7500
qexo432,3,9,3,7,n_items: 57; accuracy: 0.7719; avg_rt: 16.0145; var_rt: 149.2236; rt_cv: 0.7628; longest_correct_streak: 14; longest_incorrect_streak: 3; consecutive_correct_rate: 0.6429
dexe201,3,9,3,7,n_items: 57; accuracy: 0.8070; avg_rt: 16.8249; var_rt: 211.1461; rt_cv: 0.8637; longest_correct_streak: 9; longest_incorrect_streak: 2; consecutive_correct_rate: 0.6607
peqa279,3,9,3,7,n_items: 57; accuracy: 0.8246; avg_rt: 19.1318; var_rt: 268.8065; rt_cv: 0.8570; longest_correct_streak: 38; longest_incorrect_streak: 3; consecutive_correct_rate: 0.7500
katu927,3,9,3,8,n_items: 57; accuracy: 0.7544; avg_rt: 17.3222; var_rt: 188.1641; rt_cv: 0.7919; longest_correct_streak: 13; longest_incorrect_streak: 3; consecutive_correct_rate: 0.6071
bihi184,2,5,2,8,n_items: 57; accuracy: 0.1754; avg_rt: 12.8439; var_rt: 141.8830; rt_cv: 0.9274; longest_correct_streak: 5; longest_incorrect_streak: 36; consecutive_correct_rate: 0.1071
pyqy867,3,9,3,8,n_items: 57; accuracy: 0.7895; avg_rt: 17.5719; var_rt: 215.1964; rt_cv: 0.8348; longest_correct_streak: 12; longest_incorrect_streak: 3; consecutive_correct_rate: 0.6250
hadi890,1,9,1,8,n_items: 57; accuracy: 0.7368; avg_rt: 17.1861; var_rt: 130.8625; rt_cv: 0.6656; longest_correct_streak: 16; longest_incorrect_streak: 5; consecutive_correct_rate: 0.6071
zady580,2,4,2,8,n_items: 57; accuracy: 0.5965; avg_rt: 27.1837; var_rt: 706.0649; rt_cv: 0.9775; longest_correct_streak: 11; longest_incorrect_streak: 14; consecutive_correct_rate: 0.4821
