IDCode,gmm_bic_best_label,gmm_aic_best_label,gmm_aicc_best_label,narrative_best_label,narrative_text
nopo152,4,4,3,0,n_items: 57; accuracy: 0.5439; avg_rt: 12.9052; var_rt: 93.2335; rt_cv: 0.7482; longest_correct_streak: 14; longest_incorrect_streak: 11; consecutive_correct_rate: 0.4107
johy783,4,3,0,5,n_items: 57; accuracy: 0.4912; avg_rt: 21.3990; var_rt: 473.9670; rt_cv: 1.0174; longest_correct_streak: 8; longest_incorrect_streak: 6; consecutive_correct_rate: 0.3036
piro376,3,0,3,5,n_items: 57; accuracy: 0.7368; avg_rt: 23.5230; var_rt: 497.1691; rt_cv: 0.9479; longest_correct_streak: 21; longest_incorrect_streak: 5; consecutive_correct_rate: 0.6250
jese656,3,6,1,6,n_items: 57; accuracy: 0.8070; avg_rt: 18.8318; var_rt: 280.1959; rt_cv: 0.8889; longest_correct_streak: 16; longest_incorrect_streak: 3; consecutive_correct_rate: 0.6964
vihu826,5,7,2,6,n_items: 57; accuracy: 0.7895; avg_rt: 32.4018; var_rt: 1505.2133; rt_cv: 1.1974; longest_correct_streak: 15; longest_incorrect_streak: 3; consecutive_correct_rate: 0.6607
duwi894,3,6,1,6,n_items: 57; accuracy: 0.7895; avg_rt: 17.0157; var_rt: 404.0991; rt_cv: 1.1814; longest_correct_streak: 15; longest_incorrect_streak: 3; consecutive_correct_rate: 0.6429
niri091,0,0,3,6,n_items: 57; accuracy: 0.7018; avg_rt: 19.0272; var_rt: 448.1787; rt_cv: 1.1126; longest_correct_streak: 16; longest_incorrect_streak: 3; consecutive_correct_rate: 0.5357
sedi312,3,9,1,6,n_items: 57; accuracy: 0.7719; avg_rt: 14.7370; var_rt: 154.0170; rt_cv: 0.8421; longest_correct_streak: 17; longest_incorrect_streak: 3; consecutive_correct_rate: 0.6607
xamy888,0,5,3,7,n_items: 57; accuracy: 0.6491; avg_rt: 15.6749; var_rt: 109.5113; rt_cv: 0.6676; longest_correct_streak: 8; longest_incorrect_streak: 4; consecutive_correct_rate: 0.4286
tosa657,1,6,1,7,n_items: 57; accuracy: 0.8421; avg_rt: 11.9142; var_rt: 122.2048; rt_cv: 0.9279; longest_correct_streak: 15; longest_incorrect_streak: 2; consecutive_correct_rate: 0.7321
doxe492,1,6,1,7,n_items: 57; accuracy: 0.8421; avg_rt: 23.5912; var_rt: 267.7767; rt_cv: 0.6936; longest_correct_streak: 15; longest_incorrect_streak: 2; consecutive_correct_rate: 0.7321
node314,0,5,2,7,n_items: 57; accuracy: 0.6316; avg_rt: 27.0830; var_rt: 636.9025; rt_cv: 0.9318; longest_correct_streak: 14; longest_incorrect_streak: 4; consecutive_correct_rate: 0.4643
xopa120,2,1,0,7,n_items: 57; accuracy: 0.2456; avg_rt: 13.4787; var_rt: 148.6487; rt_cv: 0.9045; longest_correct_streak: 7; longest_incorrect_streak: 36; consecutive_correct_rate: 0.1607
rihi168,2,3,0,8,n_items: 57; accuracy: 0.4211; avg_rt: 22.0097; var_rt: 859.6442; rt_cv: 1.3321; longest_correct_streak: 4; longest_incorrect_streak: 14; consecutive_correct_rate: 0.1964
buby236,2,1,0,8,n_items: 57; accuracy: 0.2807; avg_rt: 11.4810; var_rt: 165.0891; rt_cv: 1.1191; longest_correct_streak: 11; longest_incorrect_streak: 23; consecutive_correct_rate: 0.1964
homa046,2,3,0,8,n_items: 57; accuracy: 0.3509; avg_rt: 33.0942; var_rt: 1410.6120; rt_cv: 1.1349; longest_correct_streak: 7; longest_incorrect_streak: 10; consecutive_correct_rate: 0.1964
pyqy867,3,6,1,8,n_items: 57; accuracy: 0.7895; avg_rt: 17.5719; var_rt: 215.1964; rt_cv: 0.8348; longest_correct_streak: 12; longest_incorrect_streak: 3; consecutive_correct_rate: 0.6250
xafu780,2,1,0,8,n_items: 57; accuracy: 0.2807; avg_rt: 9.1949; var_rt: 87.0635; rt_cv: 1.0148; longest_correct_streak: 3; longest_incorrect_streak: 8; consecutive_correct_rate: 0.0893
boqe999,1,6,1,9,n_items: 57; accuracy: 0.8421; avg_rt: 13.7792; var_rt: 65.6617; rt_cv: 0.5881; longest_correct_streak: 36; longest_incorrect_streak: 2; consecutive_correct_rate: 0.7500
hamu369,5,2,2,9,n_items: 57; accuracy: 0.8421; avg_rt: 23.0079; var_rt: 707.7240; rt_cv: 1.1563; longest_correct_streak: 25; longest_incorrect_streak: 2; consecutive_correct_rate: 0.7500
qecu035,5,7,2,9,n_items: 57; accuracy: 0.8246; avg_rt: 24.6150; var_rt: 1389.7589; rt_cv: 1.5145; longest_correct_streak: 17; longest_incorrect_streak: 3; consecutive_correct_rate: 0.7500
nene689,1,2,1,9,n_items: 57; accuracy: 0.8596; avg_rt: 16.9146; var_rt: 347.4372; rt_cv: 1.1020; longest_correct_streak: 18; longest_incorrect_streak: 2; consecutive_correct_rate: 0.7500
lula174,1,2,1,9,n_items: 57; accuracy: 0.8596; avg_rt: 16.4186; var_rt: 156.7202; rt_cv: 0.7625; longest_correct_streak: 26; longest_incorrect_streak: 2; consecutive_correct_rate: 0.7500
